ISBN13,Header,Content
9780399165337,Review Text,From the creator of the all-time classic VERY HUNGRY CATERPILLAR comes a sweetly resonant story... show more
9780399165337,Review quote,"Praise for Friends ""This story of love and determination is illustrated with Carle's extraordinary signature artwork. For anyone who would cross rivers and scale mountains for a beloved friend, this warmhearted story will create an emotional response. Young readers will learn the value of friendship and its many challenges."" --School Library Journal ""Often dynamic and quite beautiful, these colorful illustrations of the river, the meadow, and so on are abstract in style and show up well from a distance. A picture-book tribute to the strength of childhood friendships."" --Booklist The images are beautiful and evocative. --Publishers Weekly show more"
9780399165337,About Eric Carle,"Eric Carle is acclaimed and beloved as the creator of brilliantly illustrated and innovatively designed picture books for very young children. His best-known work, The Very Hungry Caterpillar, has been translated into 70 languages and sold over 55 million copies. Carle illustrated more than seventy books, many best sellers, most of which he also wrote, and more than 170 million copies of his books have sold around the world. In 2003, Carle received the Laura Ingalls Wilder Award (now called the Children's Literature Legacy Award) for lifetime achievement in children's literature. In 2002, Eric and his wife, Barbara, cofounded The Eric Carle Museum of Picture Book Art (www.carlemuseum.org) in Amherst, Massachusetts, a 40,000-square-foot space dedicated to the celebration of picture books and picture book illustrations from around the world, underscoring the cultural, historical, and artistic significance of picture books and their art form. Eric Carle passed away in May 2021 at the age of 91. His work remains an important influence on artists and illustrators at work today. www.eric-carle.com show more"
9780670886241,About Allan Ahlberg,"Janet and Allan Ahlberg created some of the world's most popular picture books, including EACH PEACH PEAR PLUM and THE JOLLY CHRISTMAS POSTMAN, both winners of the Greenaway Medal, and THE BABY'S CATALOGUE, inspired by their daughter Jessica. Janet died in 1994 and Allan, a former teacher, now lives in London. show more"
9780140569322,Review Text,Ilustrado/Ninos 0-5 anos - Series:The Very Hungry Caterpillar Bk 14 show more
9780140569322,About Eric Carle,"Eric Carle is acclaimed and beloved as the creator of brilliantly illustrated and innovatively designed picture books for very young children. His best-known work, The Very Hungry Caterpillar, has been translated into 70 languages and sold over 55 million copies. Carle illustrated more than seventy books, many best sellers, most of which he also wrote, and more than 170 million copies of his books have sold around the world. In 2003, Carle received the Laura Ingalls Wilder Award (now called the Children's Literature Legacy Award) for lifetime achievement in children's literature. In 2002, Eric and his wife, Barbara, cofounded The Eric Carle Museum of Picture Book Art (www.carlemuseum.org) in Amherst, Massachusetts, a 40,000-square-foot space dedicated to the celebration of picture books and picture book illustrations from around the world, underscoring the cultural, historical, and artistic significance of picture books and their art form. Eric Carle passed away in May 2021 at the age of 91. His work remains an important influence on artists and illustrators at work today. www.eric-carle.com show more"
9781406300741,Review quote,"Even small families recognise themselves in the Large family... Jill Murphy's latest insightful snapshot of parenthood [is] a thumpingly entertaining picture book about elephants, and us. * The Sunday Times * The Large family books are a personal favourite - I can so sympathise with Mrs Large... Another brilliant story. Read it and smile. * Angels and Urchins * show more"
9781406300741,About Jill Murphy,"Jill Murphy is one of Britain's most treasured author-illustrators, who wrote and illustrated her first book, the bestselling The Worst Witch, while still only eighteen. She then went on to create the award-winning Large family series - a series which has sold over five million copies worldwide, been adapted for television and includes the Kate Greenaway commended All in One Piece and the shortlisted A Quiet Night In. Jill's other characters include a small monster called Marlon who appeared in the acclaimed picture books The Last Noo-noo and All For One, and a bunny called Ruby, who stars in Meltdown!. Jill lives in Cornwall. Find Jill online at www.jillmurphy.moonfruit.com. show more"
9781405090223,About Emily Gravett,"Emily Gravett has a rare talent indeed for creating exceptional books for children. The winner of two CILIP Kate Greenaway Medals, her skill and wit are second to none. Emily first sprang into the limelight with the ground-breaking Wolves in 2005, which has been followed by such modern classics as Meerkat Mail, Little Mouse's Big Book of Fears, Monkey and Me and Again! and the fabulous Bear and Hare series for younger readers, as well as the beautiful Tidy. Each book is unique and different from the last - and each features endearing, beautifully drawn characters that touch the heart and tickle the funny bone. Emily lives in Brighton with her family. show more"
9780099408390,Review Text,"""From their earliest years children live on familiar terms with disrupting emotions, fear and anxiety are an intrinsic part of their everyday lives, they continually cope with frustration as best they can. And it is through fantasy that children achieve catharsis. It is the best means they have for taming Wild Things"" Maurice Sendak. New edition. show more"
9780099408390,Review quote,"Sendak is the daddy of them all when it comes to picture books - the words, the rhythm and the design are all wonderful. * S Magazine, Sunday Express * The greatest picture book ever written -- Chris Riddell, Children's Laureate * Guardian * The key to Sendak's success and to the continuing hipness of his book, is that it's hero is not a good child . . . the book is, in fact, extraordinarily childcentric, a book written for and about terrible infants, the kind of terrible infants that most children really are and that all adults remain for much of the time -- David Baddiel * The Times * This is my never-fail picture book. The text is very short, but utterly perfect, the illustrations are tremendous -- Jacqueline Wilson Gripping, ingenious and uplifting . . . a shrewd, fierce, healing book -- Boyd Tonkin * Independent * show more"
9780099408390,About Maurice Sendak,"Maurice Sendak was born in Brooklyn, New York. He began by illustrating other authors' books for children, but the first book that he both wrote and illustrated was Kenny's Window, published in 1956. In his lifetime, he illustrated over 80 books, and received many awards, including the 1964 Caldecott Medal for Where the Wild Things Are. In 1970 he was the first American to win the Hans Christian Andersen Illustrator's Medal. He passed away in May 2012. show more"
9780744586602,About McBratney Sam,"Sam McBratney's many books include The Dark at the Top of the Stairs and Just Me and You. Sam lives in Northern Ireland. Anita Jeram is a highly acclaimed illustrator whose books include a series of stories by Amy Hest about Sam and Mrs Bear, and her own stories The Most Obedient Dog in the World and I Love My Little Storybook. Anita Jeram lives with her family in Northern Ireland. show more"
9780571365609,About Eoin McLaughlin,"Polly Dunbar is one of the best-known illustrators working in the UK today. Polly's bestselling book, Penguin, won numerous awards including the BookTrust Early Year's Award, the Nestle Silver Children's Book Prize, the Red House Children's Book of the Year Award and was shortlisted for the Kate Greenaway Medal. Polly was chosen as one of BookTrust's Ten Best Illustrators. Polly is the illustrator of Shoe Baby, Pat-a-Cake Baby and two picture books written by David Almond. Polly created 'Tilly and Friends', a series which is now animated on CBeebies. Polly lives in the Waveny Valley, Suffolk with her partner and their two boys. Eoin McLaughlin was born in Ireland and now lives in Surrey with his partner and their young son. When he's not hugging them, he's writing more stories. The Hug was his debut picture book. He also wrote Secret Agent Elephant, illustrated by Ross Collins and The Case of the Missing Cake, illustrated by Marc Boutavant, and has many more picture books in the pipeline. show more"
9781408311257,Review quote,"A twisting turning tale of wit and adventure in the jungle * Bookseller * It flows wonderfully: never jumping too quickly or too slowly from one unfortunate/fortunate episode to the next. It's an action-packed adventure, with plenty of wide-eyed silliness throughout. Every page is an adventure in itself...a book to read time and time again * The Bookbag * A thrilling story * Mother & Baby * Fortunately you'll never guess what happens next in this twisty-turny fun filled story which under fives will enjoy again and again * Bury Free Press Series * This lively picture book is lots of fun. * Bookseller * A book to read time and time again. It's brilliant. * Bookbag * Twisty-turny fun filled story which under fives will enjoy again and again! * Bury Free Press * show more"
9781408311257,About Alan Durant,"Alan Durant writes fiction for all ages, from picture books and young fiction to teenage thrillers and poetry for adults. His titles include the award-winning Burger Boy, illustrated by Mei Matsuoka, and Kate Greenaway-nominated Always and Forever, illustrated by Debi Gliori. Simon Rickerty graduated from The Royal College of Art in 2006 with a master's degree in Communication Art and Design. His first picture book, Peas, written by Andy Cullen, was published in 2009 and shortlisted for the Booktrust Early Years Award. Simon has gone on to illustrate many more highly acclaimed books for children, including Ten Little Pirates, winner of the Nottingham Children's Book Prize, and Monkey Nut, winner of the Roald Dahl Funny Prize. He lives in Somerset. show more"
9781408331705,Review Text,"The sort of book that invites readers to cuddle up for five minutes of togetherness, just like the characters in its story ... there's a lesson in positivity to be learned from this picture book show more"
9781408331705,Review quote,"The sort of book that invites readers to cuddle up for five minutes of togetherness, just like the characters in its story ... there's a lesson in positivity to be learned from this picture book * Evening Echo (Cork) * show more"
9781408331705,About Rachel Bright,"Rachel Bright is a wordsmith, illustrator and professional thinker of happy thoughts. She has written many bestselling books for children, including Love Monster, The Lion Inside and The Koala Who Could - winner of the Evening Standard Oscar's Book Prize and the Sainsbury's Book Award. Her books have been translated into 40 languages and have sold over 2 million copies worldwide. She is also the creator of award-winning stationery and homewares range, The Brightside. Rachel lives on a farm near the seaside, with her partner and their two young daughters. show more"
9781788000864,About Camilla Reid,"Camilla Reid (Author) Camilla Reid has written, conceived and edited children's books for over twenty years. Her titles for Nosy Crow as an in-house author include the Pip and Posy series (illustrated by Axel Scheffler), the Bizzy Bear series, (illustrated by Benji Davies), and the Felt Flaps series, (illustrated by Ingela P Arrhenius). Her titles for other publishers include The Littlest Dinosaur and the Naughty Rock (illustrated by Michael Foreman, Bloomsbury), the Seriously Cute series (illustrated by Katherine Lodge, Bloomsbury) and the Lulu series, (illustrated by Ailie Busby, Bloomsbury). Axel Scheffler (Illustrator) Axel is best known for his partnership with Julia Donaldson, on books including Room on the Broom and The Gruffalo. For Nosy Crow, Axel has illustrated a number of other highly successful titles, including the Pip and Posy series, The Grunts and the bestselling Flip Flap series. Axel lives in London with his partner and young daughter. show more"
9780230015838,About Emily Gravett,"Emily Gravett is a graduate of Brighton University and the winner of the Macmillan Prize for Illustration. A former traveller, Emily has now settled in Brighton with her partner and their daughter. Her first picture book, the inimitable Wolves was published by Macmillan to great acclaim, winning the Kate Greenaway Medal and the Nestle Children's Book Prize Bronze Award. Some of her other titles include Little Mouse's Big Book of Fears, Dogs, Meerkat Mail and, with Julia Donaldson, Cave Baby. show more"
9781509827466,Review Text,"Chaos and hilarity unfold when Snowball decides to come down from his mountain and visit the town below, rolling, growing and collecting a few surprises on the way. Young children will love this wintry book's rhyme, rhythm and silliness. Charlotte Heathcote Sunday Express S magazine show more"
9781509827466,About Sue Hendra,"Sue Hendra: studied Illustration at Brighton University while also selling doughnuts from a kiosk at Chessington Zoo. Sue has now illustrated over a hundred books for children. When Sue met Paul Linnet she found another person with the same silly sense of humour as her and they fell in love and started writing and illustrating together. Their creative brilliance soon led them to come up with a wealth of bestselling, award-winning picture books including Barry the Fish with Fingers, Norman the Slug with the Silly Shell, Supertato and the Laugh Out Loud Book Award winning I Need a Wee. Sue and Paul live in Brighton with their daughter Wanda who inspired Sue's picture book and TV series Wanda and the Alien . Paul Linnet: was born by the sea near to Brighton but he grew up in Derby where he studied Graphic Design and played guitar in a band called The Chihuahuas. Eventually Paul moved back to Brighton where he met Sue Hendra and they instantly fell in love. Their celebrated picture book partnership has created many bestselling, award-winning books including Barry the Fish with Fingers, Norman the Slug with the Silly Shell, Supertato and the Laugh Out Loud Book Award winning I Need a Wee . Sue and Paul live with their daughter Wanda in a house in Brighton where Paul likes to fuss about with an old motorbike and still plays the guitar. Snowball is their second book for Macmillan. show more"
9780744575521,About Emmett Jonathan,"Jonathan Emmett studied architecture at Nottingham University and worked as an architect for some time, designing a variety of projects including an art gallery and a theatre. However, he longed to pursue a career as a writer and illustrator, and eventually gave up architecture in 1995. Since then he has had several titles published, including the picture books Fox's New Coat and Dinosaurs After Dark. Bringing Down the Moon is Jonathan's first title for Walker Books. He lives in Nottingham with his wife, Rachel, and their son Max. Vanessa Cabban obtained a first class BA honours degree in Illustration from Brighton University and an MA from the Royal College of Art. She has illustrated the picture books Love is a Handful of Honey, Bertie and Small and the Fast Bike Ride, Bertie and Small and the Brave Sea Journey and Down in the Woods at Sleepytime. Vanessa lives in Northumberland. show more"
9780007155156,Review quote,"One Snowy Night 'A heartwarming bedtime tale...' Susan Hill, The Independent 'A lovely book to share at bedtime' Children's Book News '... it's just right for reading aloud on a cold day' Books for Keeps The Rescue Party: '...it's good for reading aloud to under-fives, and later the six-pluses will still want to read it themselves.' The Independent on Sunday After the Storm: '...look no further for the best present for any child from two to six.' Susan Hill, The Sunday Times Percy's Bumpy Ride: 'Imaginatively detailed illustrations and just the right amount of suspense.' Practical Parenting show more"
9780007155156,About Nick Butterworth,"Nick Butterworth was born in London and grew up in a sweet shop in Essex. He worked for various major graphic design companies before becoming a full-time author and illustrator. Among his picture books are Thud!, QPootle5, Jingle Bells, Albert le Blanc, Tiger and The Whisperer, winner of the Nestle Gold Award. But he is best known for his stories about Percy the Park Keeper, which have sold more than 9 million copies worldwide. Percy has also appeared in his own television series. show more"
9780141382098,About Ian Whybrow,"Having spent much of his life teaching English and Drama, Ian Whybrow is now a bestselling author. Among his most popular characters are the hugely successful Harry and the Bucketful of Dinosaurs and the much-loved Little Wolf. Ian lives in Harrow, Middlesex. Adrian Reynolds is a hugely talented illustrator who has worked on many picture books, including the wonderful Harry stories and four adventures featuring Pete and Polo. Adrian lives in Cambridge. show more"
9780007120178,Review quote,"Praise for QPootle5: ""An alien story with a difference! There's lots of laughs in this friendly, funny story and we loved the wonderfully low-tech DIY spaceship."" Practical Parenting Praise for Albert le Blanc ''Nick Butterworth is one of the best picture book writers alive.'' The Independent ''Butterworth's drawings have a comforting clarity and his stories develop straightforwardly so the book works for just about everyone.'' Sunday Times ''Triumphant'' The Observer show more"
9780007120178,About Nick Butterworth,"Nick Butterworth was born in Kingsbury, North London. He has worked as a graphic designer for major London design consultancies. Nick then moved into freelance graphics and illustrations, working in partnership with three others, including Mick Inkpen. In 1981 his first children's book was published, B. B. Blacksheep and Company. Nick has also worked as a television presenter on the children's programme Rub-a-Dub-Tub. show more"
9781841215839,Review Text,Wonderful to read aloud. Sunday Express (Cressida Cowell) 20141130 show more
9781841215839,Review quote,"Wonderful to read aloud. * Sunday Express (Cressida Cowell) * It'll make you roar with laughter * Sunday Times * Laugh-out-loud funny gloss on family life * The Bookseller * Child's spot-on portrait of family life...has an anthropological quality reminiscent of Posy Simmonds' Weber family...exuberantly inventive * Books for Keeps * For a humorous and refreshingly honest look at family life, you can't get any better than this * The Bookseller * Brilliantly written and drawn by Lauren Child, the cringe-worthy details are a joy * The Guardian * A real treat. This is only Lauren Child's second book for children and I'm totally hooked * The Independent * Text and illustrations are united in giving this wittily ironic, child's-eye view of familiar characters and their foibles * The Guardian * Represents the arrival of a sparkling and irresistable new talent * Literacy and Learning * A modern classic * Sainsburys Magazine * The quirky perspectives show cheerful disregard for convention in this unusual take on family life * The Guardian * A fresh, playful, wonderfully chaotic look at family life that will make you laugh out loud * The Independent * Full of wonderfully dry one-liners * Times Educational Supplement * show more"
9781841215839,About Lauren Child,"Lauren Child MBE is a multi award-winning author and current Children's Laureate, whose books are known and loved the world over. She is the creator of many much-loved characters, including Charlie and Lola, Clarice Bean and Ruby Redfort. Since her first book was published in 1999, Lauren has sold over six million books in 19 languages worldwide. Her many awards include the prestigious Kate Greenaway Prize for I Will Not Ever Never Eat a Tomato, the Nestle Gold Book Award for That Pesky Rat and the Nestle Bronze Book Award for Beware of the Storybook Wolves. Lauren loves designing and making things and finds it exciting to see her drawings turned into objects. Other favourite things include the cinema, TV matinees, small Italian cars, handbags, cardigans, travelling and being picked up from the airport. show more"
9780007494002,Review quote,"PRAISE FOR DAVID WALLIAMS: ""A pleasure to read. A beguilingly funny, original and thought-provoking tale... hilarious"" Amanda Craig, The Times ""I absolutely love David Walliams's books. In a few more years they will become classics."" - Sue Townsend, author of Adrian Mole ""A triumphant mix of wit and warmth"" - Telegraph Books of the Year ""a new Roald Dahl"" - The Times ""Another triumph for David Walliams. His books are a breath of wonderful fresh air"" - The Sun show more"
9780007494002,About David Walliams,"David Walliams has revolutionised reading for children and become one of the most influential children's writers today. Since the publication of his ground-breaking first novel, The Boy in the Dress (2008), Walliams has seen unprecedented growth with global sales exceeding 40 million copies, and his books translated into 53 languages. Born in London, Tony Ross went to art school in Liverpool. His cartoons have appeared in famous publications the world over. His first book, Hugo and the Wicked Winter, was published in 1972. Tony has since written over 100 books and illustrated over 2000! David and Tony have worked on seven bestselling picture books together, and thirteen of David's phenomenally successful children's novels. David and Tony also collaborated on the 2017 World Book Day title, BLOB, and on the blockbuster collections The World's Worst Children 1, 2 and 3, The World's Worst Teachers and The World's Worst Parents. show more"
9780230703810,About Peter Yarrow,"Peter Yarrow is best known as a singer and songwriter, especially as a member of the folk group Peter, Paul and Mary. He believes that music from the folk tradition can bring people together in special ways that reveal how much we truly have in common with one another - and that we can be friends, despite our differences. Lenny Lipton, now a well-known independent filmmaker, wrote the poem which became Puff, the Magic Dragon whilst at university. He lives in Los Angeles with his wife and family. Eric Puybaret has already published more than twenty books in his native France, and is best known in the UK for his illustrations in Puff, the Magic Dragon. His dreamy, peaceful artwork conveys all the charm and wonder of this much-loved poem. show more"
9780340877890,Review Text,Hilarious detail and fantastic illustrations make this picture book a real joy from start to finish Good Books for Tough Times 20091101 show more
9780340877890,Review quote,"Praise for Lauren Child: 1 'Wacky, idiosyncratic stunners.' - THE SUNDAY TIMES 2 Books are at the mercy of their owners, but careless Herb, who has defaced his fairytale collection with scissors and pencil, finds the traditional characters taking revenge in Who's Afraid of the Big Bad Book?, a more robust tale than last year's Kate' Greenaway medal winner, I will not Ever Never Eat a Tomato, with wider appeal (including key stage 2 readers). - TES teacher 3 Herb, the expressively wide-eyed hero of Who's Afraid of the Big Bad Book, is better at reading pictures than words. Lauren Child's anarchic book inventively plays with fairy-tale conventions. Herb, in his crazy nighmare, falls unwittingly into his own book - climbing up words of dramatically changing typography and being chased through pages by well-known characters. Herbs earlier snipping-out of Prince Charming and ... adding moustaches and telephones exacerbates the chaos. - The Bookseller 4 A wonderfully imaginative, postmodern idea. Absorbing and with fantastical zany pictures. - The Observer Review 5 Hugely creative, Lauren Child's individual style is shown to perfection in this funny, subversive story. - Parentwise Boldly conceived and executed on all fronts - writing, drawng, design and topography - brilliantly funny and discerning. -- Carousel 'A compelling, quirky and highly original story with vibrant illustrations full of irony and humour...An optimistic book about the kind hearts that lurk beneath even the most irritating exteriors.' -- guardian 20050901 'Lauren Child is the illustrator of the moment . Her line drawings go perfectly with the hilariously dark story of Hubert Horatio Bartle Bobton-Trent, the rich boy who masterminds his family through financial ruin.' -- The Sunday Express 'S' magazine supplement's 'hottest children's books for Christmas. 20050901 Such delicious visual jokes abound in this most modern fairy tale - young readers will love it. -- Books for Keeps 20050901 Child's witty, deadpan text is, as ever, incorporated into her illustrations as a vibrant element... Such delicious visual jokes abound in this most inventive modern fairy tale - yound readers will love it. -- Books for Keeps 20050901 show more"
9780340877890,About Lauren Child,"Lauren Child attended art schools in both Manchester and London. She is now a children's writer and illustrator, an artist's assistant and also works for a design consultancy. Lauren was awarded the Greenaway Medal in 2001 for Clarice Bean That's Me and won the Bronze Smarties Award for Beware of the Storybook Wolves. She is amazingly talented and was selected for inclusion in Quentin Blake's Magic Pencil Exhibition at the British Library, which was made up from the cream of current British Children's Illustrators. show more"
9781840118605,About Angela Mcallister/Grahame Baker-Smith,"Angela McAllister (Author) Angela McAllister began her career as an illustrator, doing editorial work, poetry collections and cookery books, such as Delia Smith's Christmas Cookery and The Food and Drink Cookbook for the BBC. She started to write for children in the early eighties, illustrating her own books. Since then she has written over 50 picture books and several junior fiction titles for children. Her work is translated into many languages. For Templar, Angela has recently written the magical picture book Leon and The Place Between, where she created a mysterious world with the highly-talented illustrator Grahame Baker-Smith. Grahame Baker-Smith (Illustrator) Grahame is a self-taught award-winning illustrator from Oxford who completed his training at Berkshire School of Art. He has worked in illustration for twenty years and in 2011 won the Greenaway Medal for his inspiring tale of fatherhood, FARTHER. He has illustrated numerous other picture books for Templar, including The Rhythm of the Rain which won the English 4-11 Picture Book Awards and the Greenaway shortlisted Leon and the Place Between. show more"
9780857631671,About Penny Dale,"Penny Dale (Author, Illustrator) Penny Dale is an internationally known, best-selling children's book artist and author and has sold more than 4 million books, with editions in over 20 languages. Her much-loved picture book Ten in the Bed sold over a million copies worldwide. Her other titles have also met with great success: Bet You Can't and Once There Were Giants were included in the UK SATS booklist for many years, and Once There Were Giants was chosen as one of the Guardian's Best Children's Books Ever last year. Rosie's Babies (also written by Martin Waddell) won the Best Book for Babies award and was also shortlisted for the Kate Greenaway Medal in 1990. Penny is married, has one grown-up daughter and a grandson and lives in South Wales. show more"
9781782951780,Review Text,"Danny and Dinosaur are back in their third adventure and they're about the make history! When they accidently go back through history on a time-travelling swing, Danny and Dinosaur meet some new dino friends. But soon there's a rumbling noise; it's a volcano about to erupt! Can Dinosaur save the day by pooping them back to the future? show more"
9781782951780,Review quote,"""A work of genius"" The Bookseller of The Dinosaur That Pooped Christmas ""We love the rhyming text, colourful illustrations and (of course) the smelly, explosive eruptions!"" The School Run blog ""Happily the creators of this series have maintained their high standard and brought us another hilarious story... Wondrously inventive and fast-paced, this is another gem."" Parents in Touch website ""Fantastic!"" www.readitdaddy.blogspot.co.uk ""Scatological, or rather poopological, humour courtesy of that huge-bellied dinosaur delivered in rip-roaring rhyme and suitably exuberant illustrations; just the thing to send young children into fits of giggles, not to mention many of the adults who share it with them."" -- Jillrbennett Red Riding Hub show more"
9781782951780,About Tom Fletcher,"Tom Fletcher (Author) Tom Fletcher is a number-one bestseller and one of the UK's most popular children's authors. The Christmasaurus was the biggest debut middle-grade novel of 2016 and was shortlisted for a British Book Award. Since then, Tom has published several more chart-topping children's novels including The Christmasaurus and the Winter Witch, The Christmasaurus and the Naughty List, The Creakers and the instant number-one bestseller The Danger Gang. Tom also writes the incredibly successful Who's in Your Book? picture-book series and is one half of the author duo behind the Dinosaur that Pooped picture-book series too, which has sold over 1.5 million copies. For older readers, Tom co-authors the Eve of Man series with his wife Giovanna Fletcher. Tom's books have been translated into thirty-five languages and to date he has sold over 4 million copies of his books in the UK alone. As well as his career as an author, by the age of 21, Tom had penned 10 UK number 1 singles and is the founding member of the band McFLY. The Brit Award-winning band has sold over 10 million records worldwide and Tom has also written songs for other artists including One Direction, Busted and 5SOS. Dougie Poynter (Author) Dougie Poynter has been obsessed with dinosaurs ever since visiting the Natural History Museum when he was about three. He is passionate about the natural world and a keen conservationist, working with charities such as WWF and Greenpeace to get harmful products banned and to clean up the planet. Dougie wrote songs together with Tom Fletcher for years in bands McFly and McBusted; they now write their bestselling Dinosaur that Pooped books in the same way that they write their song lyrics. The books have sold over a million copies! Garry Parsons (Illustrator) Garry Parsons is an award-winning illustrator of books for children, including the bestselling The Dinosaur That Pooped series. Garry's illustrations have accompanied the words of many prestigious picture-book authors, including Kes Gray, Ian Whybrow and Peter Bently. He has also illustrated the popular fiction series The Dragonsitter by Josh Lacey and the space adventure series George's Secret Key to the Universe by Lucy and Stephen Hawking for slightly older readers. Garry lives in London with his young family and old dog. show more"
9780141501321,About Giles Andreae,"Giles Andreae is an award-winning children's author and has written both fiction titles and bestselling picture books. His picture book The Lion Who Wanted to Dance won the Federation of Children's Book Award in the best picture book category in 1998 and his other bestselling books include Pants and More Pants. Giles lives in Notting Hill with his wife and three young children. Russell Ayto has illustrated books by many leading picture-book authors, including Ian Whybrow and Cressida Cowell. His book The Witch's Children was shortlisted for the Greenaway Award in 2004 and The Witch's Children and the Queen won the Gold Award for the Nestle Children's Book Prize in 2003. His most recent accolade was the Roald Dahl Funny Prize for The Witch's Children Go to School in 2008. show more"
9780723296287,About Richard Dungworth,"Richard has written over forty books for children and began his writing career as an in-house author, working on non-fiction, first at Usborne Publishing, and later at Ladybird Books. Since going freelance, he has created original stories to support a wide range of exciting licensed properties such as Doctor Who; Wallace and Gromit; Transformers; MI High; Captain Scarlet and The Incredibles. Richard lives in Leicestershire with his wife and two young children. Richard's rather unfortunate surname comes from a village in South Yorkshire, where his ancestors lived. It means 'a dwelling with dried cow pats for roofing'. Lovely. show more"
9780340779163,Review quote,"A book with bite. -- The Scotsman (October 2000) The subversive humour is hilarious. -- The Children's Bookseller (Sept 2000) Lauren Child's spiky, humourous illustrations add enormous fun and children can't help but laugh out loud - often just thinking about the book! -- Carousel, Issue 17, Spring show more"
9780340779163,About Lauren Child,"Lauren Child attended art schools in both Manchester and London. She is now a children's writer and illustrator, an artist's assistant and also works for a design consultancy. Lauren was awarded th Greenaway Medal in 2001 for Clarice Bean That's Me and won the Bronze Smarties Award for Beware of the Storybook Wolves. show more"
9781405091008,About Jonathan Emmett,"Jonathan Emmett worked as an architect before realising that children's books were his true vocation. As well as writing, Jonathan is also a talented paper engineer. He lives in Nottingham with his wife, Rachel, and children Max and Laura. When not creating successful books, he enjoys designing and making furniture. show more"
9780007318018,About Sophie Smallwood,"Enid Blyton was born in 1897. She is the author of over 700 books for children and creator of a host of legendary characters, including 'The Famous Five, The Secret Seven' and, most famously, 'Noddy', Big Ears' and the other inhabitants of Toyland. Sophie Smallwood is the granddaughter of Enid Blyton. She lives in West Sussex and, as well as being a writer, is a teacher in a Montessori-based nursery. show more"
9780001982611,About Enid Blyton,"Enid Blyton was born in Dulwich, London on 11 August 1897. In the 1930's, she began to write the magazine Sunny Stories, which contained many of the characters and plots that later went on to make up her children's books. Between 1915 and 1968 she wrote seven hundred books and a hundred million copies of her books have been bought in the last ten years alone. Enid Blyton died on 28 November 1968. show more"
9781406319354,Review quote,"Your baby will love watching the plump little babies in this chunky boardbook clap, dance, bang and wave their way through their day. Lots of fun for babies of all ages. * Parents * ...filled with pictures of cheeky babies and a bouncy text...these books are undoubtedly sure to please. * Baby Magazine * ""Full of irresistibly plump babies and bouncy rhymes."" * The Bookseller * show more"
9781406319354,About Helen Oxenbury,Helen Oxenbury is among the most popular and critically acclaimed illustrators of her time. Her numerous books for children include the Kate Greenaway Medal-winning Alice's Adventures in Wonderland by Lewis Carroll; Smarties Book Prize-winning Farmer Duck (9780744536607) by Martin Waddell; We're Going on a Bear Hunt (9780744523232)by Michael Rosen; as well as her classic board books for babies. show more
9781846432750,Review Text,"""The New Baby series from Child's Play is spot on accurate. ... watercolors and graphite or grease pencil outlines are friendly and exuberant."" show more"
9781846432750,Review quote,"A wonderful book to share with toddlers and young children. Waiting for the arrival of a new sibling can be an exciting and sometimes confusing time, but there is so much that needs to be done, and Mum needs some help. The pictures are colourful and the text offers questions that promote conversation, which allow the emotions of having a new baby to be explored. A lovely book to share one-to-one with your child - perfect for both early years settings and parents alike. -- Debra Barton Nursery Education Plus ""These four books in the New Baby series are just right for toddlers awaiting and adjusting to the birth of a new sibling. They cover pregnancy, welcoming the baby, and learning to play and live together. ... The multiracial families are always smiling and gentle. Colorful artwork fills each page. The writing is clear, conversational, and full of common situations."" School Library Journal ""The New Baby series from Child's Play is spot on accurate. ... watercolors and graphite or grease pencil outlines are friendly and exuberant."" Readertotz blog ""... no one can complain about the positive message it conveys, appropriately, to its baby and toddler audience."" Kirkus Reviews show more"
9780859537285,Review Text,Sing along with this popular song as you show your baby the gorgeous pictures that help teach him parts of the body. show more
9780859537285,Review quote,"Abbreviated traditional, action rhyme/song (music supplied) introducing eight parts of the body. Realistic colour illustrations modelling babies doing actions. -- Opal Dunn Nursery World Sing along with this popular song as you show your baby the gorgeous pictures that help teach him parts of the body. Practical Parenting Magazine show more"
9781406380903,Review quote,"""A joy to share on a rainy day."" * Baby London * show more"
9781406380903,About Lucy Cousins,"Lucy Cousins is the multi-award-winning creator of Maisy. Her unique titles fascinate toddlers with their child-like simplicity, bold outlines and vivid colours. ""Maisy does things that children all over the world do,"" Lucy Cousins says of her superstar mouse. ""The way she dresses, the way she acts, are typical of children all over the world."" Lucy Cousins works from her home in Hampshire, England. Other titles include the Smarties Book Prize-winner Jazzy in the Jungle; Hooray for Fish! - which has appeared in animation in Japan; the bestselling New York TimesTop 10 Best Illustrated Children's Book Yummy; the critically acclaimed Peck Peck Peck, which won Best Picture Book in the Booktrust Best Book Awards, as well as the British Book Design and Production Award in the Children's Trade category; and more recently A Busy Day for Birds and Splish, Splash Ducky! show more"
9780862644949,About David McKee,"David McKee (1935 - 2022) was the creator of well-known characters including King Rollo, Mr Benn and Elmer the Patchwork Elephant, which is now published in more than 60 languages and has its own successful global merchandise programme. David was born in Devon and went to Plymouth Art College, where he had a traditional training. On leaving college he drew regularly for Punch, Reader's Digest, and The Times Educational Supplement. His drawings were influenced especially by Saul Steinberg and Andre Francois. In 2020 David won the British Book Awards Illustrator of the Year Award and BookTrust's Lifetime Achievement Award. show more"
